"","X","WID","n_reg","n_dam","n_basin","res_vol","iw_vol","DOF","DOR","USE","SED","RDD","URB","uparea","order","b","pval","fdi_mean","group","RL"
"108",29284,48010204,912,6,13631,125,0,1.14278797549951,0.377629579848331,6.19521577482409,0.53849740467608,0.378809363073513,0.075613084789951,624556.930345595,8,-0.002126162,0.00167350434314648,1.11852631577143,"(-0.1,0]",6.69063164844839
"109",29699,49001334,0,0,255,0,0,0,0,0.232549019654592,0,0.366101959464597,0,11087.1212799201,5,-0.002512122,0.000166276938851607,1.71454613374286,"(-0.1,0]",0
"110",30105,49010558,1,0,982,0,0,0,0,0.0720528466475567,0,0.828434960697058,0,44780.2679423489,6,-0.0005270606,0.000807170302189612,1.19241828671429,"(-0.1,0]",0.10183299389002
"111",30106,49010602,0,0,285,0,0,0,0,0.00245614041361892,0,0.880863158849248,0,12459.9805882294,5,-0.004907185,0.00167350434314648,1.3264859084,"(-0.1,0]",0
"112",30124,49011180,0,0,390,0,0,0,0,0.117435898937476,0,0.748428204693855,0,15917.2438289896,5,-0.002126602,0.0469805611166679,1.08342490842857,"(-0.1,0]",0
"113",30142,49012362,0,0,415,0,0,0,0,0.102644231528617,0,0.712716346499152,0,18257.2647242868,5,-0.0008212838,0.0138605370137844,1.16985308628571,"(-0.1,0]",0
"114",30493,51003313,4,3,511,0,0,0.202196906106384,0.0191803009067329,0.0152804644443311,0.226604535240595,1.29501740464389,0.00453771780491797,24445.2267731514,5,-0.0008152347,0.00000497288155190259,0.457746828571429,"(-0.1,0]",0.782778864970646
"115",32814,52004641,27,3,439,100,0,3.93758411278305,0.0440364758532419,0.418284425701164,1.20554586018486,0.89484875987265,0.0825056441077799,18874.3119537245,5,-0.001214712,0.00907801720573989,1.1040390502,"(-0.1,0]",6.1503416856492
"116",33184,52008152,0,0,745,0,0,0,0,0.000133868810562404,0,0.532459170164832,0.000669344042838019,30445.1688095551,6,-0.001123774,0.0083212096678155,1.02372644714286,"(-0.1,0]",0
"117",33551,52016258,0,0,1903,0,0,0,0,0.000681699013828793,0,0.833849501808276,0.0169029891506564,83718.9252255233,6,-0.001537602,0.0000000946014998578075,0.518280494428571,"(-0.1,0]",0
"118",38060,56108301,0,0,408,0,0,0,0,0.00171568630007552,0,0.413012255165799,0,17862.9559862204,5,-0.003798186,0.0138605370137844,0.300235277714286,"(-0.1,0]",0
"119",38130,56114441,0,0,1193,0,0,0,0,0.00427493719697898,0,0.124778709119094,0,50648.4569808817,5,-0.001358542,0.0242392703746718,0.196920509485714,"(-0.1,0]",0
"120",38131,56114479,0,0,711,0,0,0,0,0.0299578061020827,0,0.563074544428438,0,30840.9213792913,6,-0.003494073,0.0207439174201465,0.735581890914286,"(-0.1,0]",0
"121",40667,61020649,0,0,259,0,0,0,0,0.00229885060896818,0,0.0982375470386154,0,11522.5809542272,4,-0.002404737,0.000187149308653633,0.4654575064,"(-0.1,0]",0
"122",40670,61021929,0,0,1481,0,0,0,0,0.0738014861096167,0,0.0158176907488496,0.00405589637524529,64415.578289467,6,-0.001801582,0.00000156212484411175,0.548643264085714,"(-0.1,0]",0
"123",40671,61021992,0,0,249,0,0,0,0,0.00160642575667086,0,0.12171486091901,0.00395180733807116,10872.7492032528,5,-0.002975244,0.0000376911823952338,1.25177550797143,"(-0.1,0]",0
"124",40672,61022020,49,1,398,0,0,10.3441456985474,7,0.355500001404434,6.25335111056761,0.126862499713898,0.383259996622801,16845.9994752191,5,-0.00713092,0.00000997640813646051,0.870060258771429,"(-0.1,0]",12.3115577889447
"125",40673,61022042,0,0,389,0,0,0,0,0.0267352189648427,0,0.0218483292734715,0,16862.7537565983,5,-0.00463257,0.0000195964637929961,0.852598653571429,"(-0.1,0]",0
"126",40674,61022059,0,0,317,0,0,0,0,0.569278997126791,0,0.140567398066618,0.0870783710180779,13814.4826671865,5,-0.004997135,0.000583283347549499,1.56040839971429,"(-0.1,0]",0
"127",40698,61023450,0,0,1533,0,0,0,0,0.0489889113627379,0,0.0403085451400599,0.0525538146456938,66743.9472769185,6,-0.001159466,0.000897999431854636,0.693535298942857,"(-0.1,0]",0
"128",40699,61023461,1,0,265,0,0,0,0,0.076779027500849,0,0.242906365780795,0,12076.2002864356,5,-0.004252618,0.000130928032249208,0.957951172028571,"(-0.1,0]",0.377358490566038
"129",40717,61029966,0,0,254,0,0,0,0,0,0,0.109724410406248,0,10823.8571301213,5,-0.002156882,0.00167350434314648,1.78474255242857,"(-0.1,0]",0
"130",40752,61046331,24,1,903,138,0,2.49062153086446,0.0102858128209711,0,0.346287636774165,0.16416057658816,0.00253488375895047,40943.4718514223,6,-0.004693069,0.000166276938851607,1.41074454388571,"(-0.1,0]",2.6578073089701
"131",41511,64070547,361,37,3764,1235,0,5.58870068412234,0.873652783026767,0.103893953441619,4.83725998405104,0.809515327239886,1.18431297944613,180697.635917807,7,-0.001568499,0.0000114379254569868,1.52778304357143,"(-0.1,0]",9.59086078639745
"132",41618,65007623,118,2,3892,105,0,0.525690202192293,0.869353589935811,2.86908485305917,0.472458006004225,1.82327992954764,0.424557034937549,185876.504615352,6,-0.006378724,0.0000552457044347388,0.504900685314286,"(-0.1,0]",3.03186022610483
"133",41642,65009143,1,0,253,0,0,0,0,0.188142294145149,0,1.20663241294062,0.0786758889793878,11156.7356474861,5,-0.003493063,0.00697472395835133,0.976926961028571,"(-0.1,0]",0.395256916996047
"134",41730,65012095,0,0,233,0,0,0,0,1.18755365502041,0,2.29630471522972,0.183124463701453,10807.1288352362,4,-0.004680991,0.00531992432207359,0.541081442942857,"(-0.1,0]",0
"135",41765,65013531,0,0,217,0,0,0,0,0.351152074536145,0,1.56633640417168,0.402161287684594,10961.6956069096,4,-0.001829189,0.0000428506264118929,0.610990717,"(-0.1,0]",0
"136",42982,65031116,0,0,436,0,0,0,0,0.0270022888341812,0,1.04691076026356,0.0248100685991466,19314.2409091976,5,-0.001341276,0.0407786920676653,1.54651184311429,"(-0.1,0]",0
"137",43138,66004005,0,0,859,0,0,0,0,0.0807916187487187,0,0.679949943492313,0.0101699651467231,35195.8932420216,6,-0.003503969,0.000130928032249208,1.66752268054286,"(-0.1,0]",0
