"","X","WID","n_reg","n_dam","n_basin","res_vol","iw_vol","DOF","DOR","USE","SED","RDD","URB","uparea","order","b","pval","fdi_mean","group"
"28",2417,13069200,0,0,301,0,0,0,0,0.000330033008218205,0,0.498204619356311,0,13064.7100192998,5,-0.0006007874,0.0352851323530067,1.12381991071429,"(-0.1,0]"
"29",2429,13074533,438,16,81686,4674,0,0.256963531439347,0.0842232437531584,0.0212461471249956,0.142585531387868,0.293732662867525,0.0192585025039922,3675226.82407823,9,-0.002303918,0.00000018066636820683,1.33222366582857,"(-0.1,0]"
"30",2448,13080035,0,0,427,0,0,0,0,0.000234192040960459,0,0.21384777488139,0,19370.4513108782,5,0.0006421625,0.0000114379254569868,0.474864557685714,"(0,0.1]"
"31",2462,13084511,40,0,271,0,0,13.2798528776837,0.0700223146769393,0.133948339829806,1.78161452435138,0.785690036619501,0.0925756433353213,11323.3799228483,4,0.000859644,0.000373879382849364,0.1857211436,"(0,0.1]"
"32",2488,13094090,0,0,503,0,0,0,0,0,0,0.258427434750864,0,22796.775970401,5,0.002078952,0.0000171501935136612,0.544781778942857,"(0,0.1]"
"33",2493,13096278,0,0,483,0,0,0,0,0.0519668744957965,0,0.661049689472832,0.00450724647158668,22790.8389821048,5,0.0008358193,0.0117303045456346,0.495808904142857,"(0,0.1]"
"34",2510,13101924,22,1,369,57,57,3.04208914697332,0.215743080548801,0.11761517752073,2.17111630490169,0.521739836550017,0.0414796762350129,16684.4853772899,5,0.0007622007,0.0304360620926451,0.5184151996,"(0,0.1]"
"35",2577,13106372,0,0,459,0,0,0,0,0.12008639455614,0,0.37081425712639,0,19809.3741725338,5,0.002122587,0.000522555542592067,0.908540643485714,"(0,0.1]"
"36",2648,14011581,0,0,309,0,0,0,0,0.0478964415665197,0,0.46702265336772,0,13754.6206558743,5,0.03657953,0.0000909102380969151,2.42317456408571,"(0,0.1]"
"37",2662,14013725,0,0,235,0,0,0,0,0.162978724089075,0,0.419153193717307,0,10627.8777948587,5,-0.004801334,0.00442314596163109,1.29579619465714,"(-0.1,0]"
"38",2737,14029390,43,0,755,0,0,0,0,5.76790450591426,0,3.18233422234417,0.0937586203612763,33418.0586102439,5,0.004422036,0.0407786920676653,1.2005457074,"(0,0.1]"
"39",2754,14037932,0,0,421,0,0,0,0,0.196666667592667,0,2.86161429275359,0.0493904768001466,18708.4392652926,5,-0.003342495,0.00582725731337703,0.831424492514286,"(-0.1,0]"
"40",2764,14043457,0,0,881,0,0,0,0,0.0156108599779832,0,1.95363574724526,0,38385.9265181582,6,-0.001304629,0.0000376911823952338,1.04438367602857,"(-0.1,0]"
"41",2895,14081937,62,1,489,0,0,8.8289596571269,3.25851651837246,0.10000000113968,3.61391855475628,0.387885479778356,0.0426564409658465,22398.4347284835,5,0.001625053,0.0117303045456346,0.468427595457143,"(0,0.1]"
"42",2909,14084260,0,0,293,0,0,0,0,0.00813559334156876,0,0.274677965651124,0.0743220342923019,12008.2032423135,5,0.0005886237,0.000265512945646669,1.01552150762857,"(0,0.1]"
"43",3180,15000795,200,12,1056,1659,1659,12.1254510836137,8.38528163221248,6.72844990527359,8.39211137537729,0.447407372267688,0.337207941905312,46297.7701131234,5,0.004928348,0.00697472395835133,0.741706091028571,"(0,0.1]"
"44",3202,15001913,66,2,344,0,0,13.5640224960611,5.64638178916865,6.74156977543824,6.01622905156023,0.5589767442583,1.16651351615613,14571.3301120513,5,0.002217836,0.0407786920676653,1.66699087771429,"(0,0.1]"
"45",3241,15003299,115,3,1235,772,42,5.42380065029932,0.466496319616372,2.84777328118018,1.68792566123655,0.468006477483854,0.12522024210648,54151.6840076258,6,0.001332802,0.0379474349384441,1.23151649385714,"(0,0.1]"
"46",3331,15006853,169,8,856,1884,297,12.4783048532277,7.17149717987419,4.118224303682,6.10439655554013,0.583536213829626,1.12593818598679,38712.2877272766,6,0.005308091,0.00637780514515526,1.77005487545714,"(0,0.1]"
"47",3358,15008948,1,0,1809,0,0,0,0,0.265195808881432,0,0.194614450172436,0.0031268615717396,90620.3146064566,5,-0.0008585395,0.0242392703746718,0.298688827942857,"(-0.1,0]"
"48",3417,15011133,4,0,373,0,0,0,0,1.87319035314763,0,0.515176946112522,0.0792734585003303,16571.7876585038,6,-0.007888819,0.0207439174201465,3.50297446948571,"(-0.1,0]"
"49",3552,15015854,69,2,485,96,96,3.38407638087655,2.41951129434045,9.75667351288472,3.93121510445815,0.739866528055751,0.545587266280911,20188.6443750724,5,0.003800145,0.000650529832469415,1.07337433642857,"(0,0.1]"
"50",3725,15022386,1,0,1384,0,0,0,0,0.0411976912417711,0,0.677474026023955,0.166162337317611,64633.9090529656,6,-0.003378122,0.0150485434544013,2.63571071902857,"(-0.1,0]"
"51",4111,15039642,0,0,225,0,0,0,0,0.0742222256130642,0,0.232502222988341,0.145999999841054,10608.7331138866,5,-0.0007989848,0.0469805611166679,0.677880005657143,"(-0.1,0]"
"52",4129,15040159,9,0,339,0,0,0,0,2.24159291360231,0,0.177613569615865,0,14666.5692695051,5,-0.0005623766,0.0469805611166679,0.439971283714286,"(-0.1,0]"
