"","X","WID","n_reg","n_dam","n_basin","res_vol","iw_vol","DOF","DOR","USE","SED","RDD","URB","uparea","order","b","pval","fdi_mean","group"
"130",13346,24022570,107,5,1972,1007,0,3.72248276276231,0.0310467746388356,0.0988843832391693,0.726197630732776,1.50778926574978,0.537794227260363,86514.2092097378,6,0.001218362,0.000102750152035912,0.39746540353431,"(0,0.1]"
"131",13347,24022584,32,1,373,33.2,33.2,5.05781292851425,0.496845749164395,0.0831099212289495,2.30879927715895,1.81940482518868,0.384847189561931,17621.2895252627,5,0.005536652,0.0000909102380969151,0.85227664603695,"(0,0.1]"
"132",13645,24028527,621,31,4546,2116.9,722.2,7.2217641177051,1.44892235931711,0.466161617946222,3.7368951430987,1.81630961774968,2.94081877154324,194345.579951989,7,0.008329013,0.0000000946014998578075,1.23685915423386,"(0,0.1]"
"133",13702,24029396,375,22,3078,739.6,416.9,4.40499214220569,1.43987979799577,0.762994447290098,3.25629277617821,1.74470774769228,3.91090354697743,131684.649789379,6,0.002065702,0.0000223728201152168,0.887209430333637,"(0,0.1]"
"134",14525,25005305,0,0,343,0,0,0,0,0,0,0.0261081868880674,0,15512.4537782767,5,-0.000323322,0.00442314596163109,0.342097833448123,"(-0.1,0]"
"135",14527,25005313,16,1,596,0,0,2.23219591629605,2.01680672268908,0.0989915971996403,1.6047463849408,0.214036973659732,0,26137.0775429059,5,0.00105451,0.0033329003128446,0.601091957789394,"(0,0.1]"
"136",14679,25007274,13,1,604,0,0,0.544278990786733,1.33350274887592,0.104318937664214,0.0412843884314172,0.2428687722778,0.0121926912833686,27085.0098564762,5,0.0006071601,0.0304360620926451,0.844886419634131,"(0,0.1]"
"137",16300,28039493,6,0,389,0,0,0,0,2.27275065223478,0,0.4327275073467,0.00579177383285562,15911.6548161811,5,-0.001357704,0.028234143450386,0.345503774189224,"(-0.1,0]"
"138",16435,28054282,0,0,357,0,0,0,0,0,0,0.0528842972042475,0,15237.093190639,5,0.001502262,0.0261708908378838,2.69843860623695,"(0,0.1]"
"139",16453,28055820,6,0,1155,0,0,0,0,0.785095320527072,0,0.627997399177047,0.281692373703526,59939.1420810699,6,-0.00515324,0.00302792490200088,2.38887618802772,"(-0.1,0]"
"140",16464,28057457,0,0,211,0,0,0,0,0.792417059577472,0,0.487900474483933,0,10410.7733277453,4,0.0003562729,0.00000757056709599623,0.118675843129989,"(0,0.1]"
"141",16624,28065562,4088,135,68300,50522.8,3972,3.09969365641793,1.70233682360133,2.26486368500551,1.93133637474262,0.611660521503375,0.483386905541529,3247453.46844096,9,-0.003748274,0.000000857890049163983,0.516615667103072,"(-0.1,0]"
"142",16666,28069718,76,3,969,1112,882,3.99329677497322,1.21431611716195,3.44346032847951,3.31977549374345,0.585650875957263,1.94618845651987,43257.4807090234,5,-0.0009254514,0.0379474349384441,1.01236385795322,"(-0.1,0]"
"143",16714,29001937,54,4,357,325.3,239.3,7.21413984737024,3.67145568348239,5.74958213211185,4.8425061182944,0.852445679517011,0.628412262559933,16860.3546014434,5,-0.004291129,0.0000149966585209017,0.646642513578152,"(-0.1,0]"
"144",16728,29011657,1,0,313,0,0,0,0,0.649840256371818,0,0.731712461041566,0.08413738183701,13049.0517553981,5,0.006066716,0.00123043841168622,1.8251186995812,"(0,0.1]"
"145",16730,29011829,35,4,727,300,0,3.25104776452896,1.04410368505809,2.4683994555033,2.42885352509327,0.350329685604605,2.48075415440689,31153.6645866297,6,0.0008179711,0.000724929304053229,1.32585126935046,"(0,0.1]"
"146",16734,29012079,66,0,465,0,0,7.40272895443824,0.439052668438163,12.8808602246546,1.77150818335711,0.469253763636594,1.04585808207912,19893.0135574484,4,0.002918345,0.00907801720573989,0.413535690482592,"(0,0.1]"
"147",16755,29014993,0,0,321,0,0,0,0,0.155417955327698,0,0.20857585163862,0,12327.6064318827,5,0.004600057,0.00249302753224377,1.25416595852755,"(0,0.1]"
"148",16770,29018862,11,0,670,0,0,0,0,6.52089552702521,0,0.545528361023362,0.333973134809466,25254.1934075782,5,0.01249066,0.00000757056709599623,1.10284944622882,"(0,0.1]"
"149",16772,29018915,66,0,580,0,0,7.82230044309407,0.513698630136986,2.43167809181375,0.508854586605497,0.388921231886193,0.017419520599691,27475.3315921106,5,0.01359127,0.0000000209896944244834,0.988985495826921,"(0,0.1]"
"150",16794,29023423,2,0,503,0,0,0,0,0.696237632838806,0,0.417724752145829,0.00211485140394456,21676.4090723846,5,0.01368667,0.0083212096678155,2.75502732689594,"(0,0.1]"
"151",16814,29028244,73,1,1024,1450,0,5.41756136529148,4.90548320859671,4.58876952973515,3.4399744283005,0.693016599325347,1.95453238919436,41559.3422856025,6,0.001218174,0.000807170302189612,1.68496175899922,"(0,0.1]"
"152",16816,29028308,25,0,403,0,0,4.25479733441071,0.056424546478404,0.565260546693287,1.37367612880993,1.59302729199971,0.137607939485876,18444.933195759,5,0.002380511,0.0379474349384441,1.31165952397663,"(0,0.1]"
"153",16841,29033101,8,0,265,0,0,0.377358490566038,0,4.08679249106713,0,0.633532073897011,0.0799056585667268,10992.3133827036,5,0.01116076,0.00185112515628248,2.52873770449937,"(0,0.1]"
"154",16861,29037393,161,7,1051,0,0,5.64232171501642,0.540172642862808,7.34339983522156,2.88397738854839,1.71239221205003,1.83466557568295,43856.0255140992,6,0.001741452,0.0304360620926451,1.56678514732566,"(0,0.1]"
"155",16862,29037401,283,5,5993,3158,2680,2.22771044678436,0.447638173893097,2.43151757580433,1.50782953322651,0.818709311784356,0.00987922712507674,260541.910410771,7,-0.00362963,0.0000290877744334714,1.11558260566473,"(-0.1,0]"
"156",16888,29042186,1,0,1873,0,0,0,0,2.12746666375001,0,0.274189332997799,0.0507786675135295,74275.8650243707,6,0.005602981,0.0000803673722991909,1.16634647013245,"(0,0.1]"
"157",16896,29042559,10,0,307,0,0,0,0,6.13485345710372,0,0.522019544403988,0.265947884961914,12057.9717388766,4,-0.002272214,0.00302792490200088,0.426985475494792,"(-0.1,0]"
"158",17001,29046970,5,0,318,0,0,0,0,2.90849059098547,0,0.393540881386718,0.0252578603396626,13075.713280432,5,0.00489876,0.000373879382849364,2.72490790296871,"(0,0.1]"
"159",17161,29051525,6,0,1171,0,0,0,0,1.66362084125119,0,0.415783090190843,0.0198847137385205,45969.8045165703,6,0.006937808,0.0176963560701568,1.17457125730903,"(0,0.1]"
"160",17162,29051529,3,0,747,0,0,0,0,1.55173796509955,0,0.52534625641404,0.31085160725257,31330.0483048128,6,-0.005286813,0.0207439174201465,0.306128568305623,"(-0.1,0]"
"161",17169,29051658,0,0,229,0,0,0,0,0,0,0.277772926086942,0.00266812227698913,11051.6219539841,5,-0.00179557,0.0304360620926451,0.590827446183702,"(-0.1,0]"
"162",17283,29055666,2,0,737,0,0,0,0,4.56255089661443,0,0.577915875921013,0.439344643495138,31754.9673374629,5,0.01047602,0.000333844169100078,0.632889718429602,"(0,0.1]"
"163",17291,29055833,37,0,361,0,0,0,0,10.4725762041817,0,0.334897508168815,0.173235455336993,13866.4883922104,5,-0.00157226,0.00907801720573989,1.0128824996554,"(-0.1,0]"
"164",17293,29055869,0,0,197,0,0,0,0,3.42690356045508,0,0.439847717619487,0.669481582750524,10560.8424550244,5,0.0005782372,0.028234143450386,1.37611809828058,"(0,0.1]"
"165",17385,29059794,31,0,2651,0,0,0,0,2.17212805840873,0,0.486883616817873,0.0708406780876233,108783.854259715,7,-0.01111346,0.0000428506264118929,1.70087072073153,"(-0.1,0]"
"166",17386,29059813,1,0,389,0,0,0,0,1.35835476338404,0,0.272113110266798,0.73548180401172,17236.6911083852,6,0.01650169,0.000897999431854636,3.31726071839971,"(0,0.1]"
"167",17458,29064154,49,1,1736,0,0,1.98293569656561,0.422666268414616,0.89976958512041,1.33248867561511,0.3868410133967,0.0752171647267133,69454.6807195366,6,-0.001022518,0.0352851323530067,1.14323728847222,"(-0.1,0]"
"168",17633,29068100,27,0,252,0,0,5.8592086176234,0.324613090575211,1.72244094300458,1.05740326717754,0.641708663188097,0.125311025953668,10261.1885970739,5,0.008047731,0.0176963560701568,1.05440607300427,"(0,0.1]"
"169",17634,29068102,8,0,1013,0,0,0,0,3.85753694706656,0,0.614915273129353,0.355058220733563,42048.4978018231,6,0.005410626,0.028234143450386,1.32971783511603,"(0,0.1]"
"170",17858,29075279,10,0,2467,0,0,0,0,0.499392466172244,0,0.386580802153218,0.496588224556437,103381.622920692,7,0.009209273,0.00225936064356749,1.58651006810161,"(0,0.1]"
"171",17927,29078884,30,0,748,0,0,0,0,4.4614973316756,0,0.471044118172504,0.0715614968641875,29878.7393252416,5,0.01738384,0.00249302753224377,1.80570271470299,"(0,0.1]"
"172",17932,29079012,4,0,221,0,0,0,0,1.87828052529382,0,0.22603167236121,0.0658642525586607,11755.0718231892,5,0.001171929,0.00185112515628248,1.02770680145902,"(0,0.1]"
"173",18083,29081879,0,0,213,0,0,0,0,0.395348833743916,0,0.21713953246904,0.00237674408180769,12229.2875946207,4,-0.00111297,0.0207439174201465,1.90772421801565,"(-0.1,0]"
"174",18152,29083962,90,0,5764,0,0,0.714141529352711,0.190940851624281,0.293490305900254,0.766155501586771,0.189046225411214,0.132945072362483,273626.673835159,6,-0.003447976,0.0000626502537142492,0.326908468902038,"(-0.1,0]"
"175",18255,29086446,16,0,3337,0,0,0,0,1.02957198302775,0,0.120497455965952,0.0672211485578428,190154.346011325,6,-0.007014168,0.000210466228479403,0.484306303497769,"(-0.1,0]"
"176",18334,29088987,4,0,1403,0,0,0,0.0055894335932334,0.697861728641448,0.121439143429942,0.144541696563671,0.0665153225914377,64174.2974182701,7,0.002007818,0.0261708908378838,0.97059207455729,"(0,0.1]"
"177",18339,29089099,1,0,315,0,0,0,0,0.872698428635559,0,0.141768255072927,0.0284190465533544,15514.9662935603,5,-0.0006441443,0.0469805611166679,1.38214182067236,"(-0.1,0]"
"178",18411,29092120,7,0,518,0,0,0,0,1.90766283508633,0,0.299454022841207,0.239241374635148,22881.122207517,6,0.003238027,0.0000149966585209017,2.44365149234687,"(0,0.1]"
"179",18574,29097796,3,0,567,0,0,0,0,1.02390158709355,0,0.0175518453749705,0,36577.353469534,5,0.001892715,0.000724929304053229,0.893484342638998,"(0,0.1]"
"180",18663,29103644,0,0,235,0,0,0,0,0.483404258559359,0,0.216953190590473,0.00808510628152401,10426.4936119876,5,-0.0004897583,0.0117303045456346,0.20390771866776,"(-0.1,0]"
"181",18701,29106042,0,0,369,0,0,0,0,0.126829270000865,0,0.291468832571171,0,19051.5726718665,5,-0.0008769963,0.0469805611166679,1.37153249627469,"(-0.1,0]"
"182",18761,29108143,3,0,481,0,0,0,0,0.902910602006,0,0.0237546775048587,0,29572.2544543562,5,-0.007528791,0.0000486754559492971,0.996998840811416,"(-0.1,0]"
"183",19007,29118460,128,0,1262,0,0,2.23431225085599,0.037988188149623,6.99540413672875,1.88998302749697,0.684811410607797,0.571583992540364,51825.6935292106,6,-0.00692415,0.00366560370224007,0.665414807853937,"(-0.1,0]"
"184",19040,29119913,5,0,904,0,0,0,0,1.26438052930861,0,0.432574115767745,0.151954646593174,39549.6707636219,5,-0.005946995,0.00151168543603235,0.77210130973124,"(-0.1,0]"
"185",19386,31000518,0,0,285,0,0,0,0,0,0,0,0,11858.4678711567,4,-0.0004843948,0.00225936064356749,0.267696553428571,"(-0.1,0]"
"186",19604,31003719,0,0,551,0,0,0,0,0.000363636369054967,0,0,0,24521.4440300881,5,0.001447331,0.00402823717083145,0.536916846657143,"(0,0.1]"
"187",19676,31006117,0,0,1381,0,0,0,0,0.000289855076782945,0,0.0720920291229867,0,59452.2346062044,6,0.0004613657,0.0469805611166679,1.25459918811429,"(0,0.1]"
"188",19725,31049851,48,0,415,0,0,4.52586440293186,1.58592918579837,6.9065060276583,2.32219363780251,0.330238554653633,0.044607228112508,18085.6896875788,5,-0.00259075,0.00185112515628248,1.07574256688571,"(-0.1,0]"
"189",19771,31055062,0,0,247,0,0,0,0,0.762348181986616,0,0.653850203161297,0.127323884230394,10436.8987249688,4,-0.0002564525,0.00989568839126326,0.236770491085714,"(-0.1,0]"
"190",19788,31057370,34,0,622,0,0,0,0,5.51318328001108,0,0.400655948571933,0,27323.884140246,5,0.001408258,0.00136439215645161,0.5399258086,"(0,0.1]"
"191",19789,31057406,40,2,567,230,0,4.86838328438882,2.19142400966119,2.19788359640399,2.2170143644592,0.203220459177591,0,24609.6038376586,5,0.001999707,0.000187149308653633,0.584362408485714,"(0,0.1]"
"192",19829,31059805,65,1,517,0,0,10.3618083644558,9.65250965250965,3.78725868808717,6.19150465021005,0.0978571434278746,0,22957.1676730426,5,0.0005928749,0.0327839015209219,0.636072484771429,"(0,0.1]"
"193",19943,31067067,0,0,301,0,0,0,0,0.562376235774641,0,0.166778877672583,0,13231.6417060706,5,0.001305159,0.000000000102337430197401,1.16188373657143,"(0,0.1]"
"194",19993,31071149,152,8,2171,0,0,4.24132053258504,0.695762211737192,0.973861021579025,1.28063774928497,0.177353888852938,0.161168891111937,93729.3280239488,7,0.0008352094,0.0117303045456346,1.47437140688571,"(0,0.1]"
"195",20182,32000794,1022,18,55902,346500,0,1.13934449940152,0.965417013168367,0.0980517738626957,1.08128612530921,0.172991126603929,0.148094007869846,2555007.40658631,8,-0.0007395438,0.0304360620926451,0.718613662828571,"(-0.1,0]"
"196",20705,33005216,0,0,380,0,0,0,0,0,0,0,0,17853.8600903241,5,-0.001161814,0.0000171501935136612,1.18167923442857,"(-0.1,0]"
"197",20858,34000655,241,7,53411,36115.1,0,0.31026209199242,0.301209286436742,0.0105002996679998,0.2335850513941,0.127535799963242,0.00783306115221538,2462217.28383536,8,-0.003253555,0.000000632523042948377,0.745434216628571,"(-0.1,0]"
"198",21096,35001151,0,0,7217,0,0,0,0,0.000180255134057417,0,0.094485995840618,0,326616.779708889,7,-0.0005719614,0.00167350434314648,0.909082113371429,"(-0.1,0]"
"199",21191,35001995,0,0,389,0,0,0,0,0.000257069412570992,0,0.0968971718246342,0,16725.2026749791,5,-0.0007840826,0.00185112515628248,0.5827677884,"(-0.1,0]"
"200",21530,35031074,0,0,4285,0,0,0,0,0.0000933706847364718,0,0.035040616145641,0,191407.95384522,7,-0.000690803,0.0469805611166679,1.20387399705714,"(-0.1,0]"
"201",21531,35031229,0,0,517,0,0,0,0,0,0,0.0405048358774739,0,21361.3937052498,5,0.0008256698,0.00123043841168622,0.683502921457143,"(0,0.1]"
"202",21665,35046203,0,0,1686,0,0,0,0,0.000474777455145951,0,0.0609614238762007,0,73353.1140635326,6,0.0007607198,0.000650529832469415,0.973732383,"(0,0.1]"
"203",21666,35046248,0,0,310,0,0,0,0,0,0,0,0,13331.9493290366,5,0.001542106,0.00637780514515526,0.915811948342857,"(0,0.1]"
"204",21667,35046310,0,0,527,0,0,0,0,0,0,0.150865275320903,0,24206.4604962889,5,-0.002676143,0.000102750152035912,0.530714298657143,"(-0.1,0]"
"205",21668,35046329,0,0,287,0,0,0,0,0.000348432060941171,0,0.273066203327337,0,12014.562245687,5,0.001044309,0.00110872314789711,1.1392761156,"(0,0.1]"
"206",21830,35052844,0,0,275,0,0,0,0,0,0,0.072483635598963,0,12921.6422065481,5,0.002046317,0.0000803673722991909,0.611505662342857,"(0,0.1]"
"207",21897,35054346,0,0,617,0,0,0,0,0,0,0.0449189627527997,0,26117.7405358669,5,0.0008266804,0.0127561170265981,0.822952004971429,"(0,0.1]"
"208",21964,35055847,0,0,225,0,0,0,0,0,0,0.263982219894727,0,10811.8868970559,5,-0.001028883,0.00402823717083145,1.25562549268571,"(-0.1,0]"
"209",21967,35055851,0,0,447,0,0,0,0,0,0,0.0726129751344122,0,19732.6634309872,5,-0.0005985844,0.0379474349384441,0.793796661285714,"(-0.1,0]"
"210",21968,35055853,0,0,308,0,0,0,0,0,0,0.00486363625371611,0,13470.6816250746,4,0.001307415,0.000583283347549499,0.235954695314286,"(0,0.1]"
"211",22087,35056631,0,0,367,0,0,0,0,0,0,0.0152615802489444,0,16977.5244338557,5,0.000800595,0.010778341787809,1.1950522972,"(0,0.1]"
"212",22125,35057092,0,0,403,0,0,0,0,0,0,0.162761786402603,0,17737.8633336364,5,0.001988053,0.00000181077858794969,0.756701364142857,"(0,0.1]"
"213",22181,35058124,0,0,274,0,0,0,0,0,0,0.230956202168969,0,11590.358073698,4,0.001775979,0.000013102494052637,0.574932958257143,"(0,0.1]"
"214",22204,35058756,0,0,1313,0,0,0,0,0.0003846153903466,0,0.209323076938207,0,56142.4526451839,6,0.002850399,0.0000000681059962832549,0.708789590685714,"(0,0.1]"
"215",22374,35062191,0,0,282,0,0,0,0,0,0,0.259578013937947,0,12611.9722179441,5,0.00159796,0.00000374189597718329,1.22070118828571,"(0,0.1]"
"216",22517,36006630,1,0,331,0,0,0,0,1.1305136039538,0,0.213154077484889,0,12451.5131089597,5,0.007037615,0.0000376911823952338,1.27128486568571,"(0,0.1]"
"217",22899,41002325,119,22,329,924.2,182.1,18.272481391314,5.25397917782282,0.220668695844415,13.2919342079807,1.72720060502052,5.4047496824279,14319.6984580581,5,0.0009411941,0.000116035002536839,0.800308756485714,"(0,0.1]"
"218",23140,41004202,57,17,239,441.1,0,7.57300476648818,2.96491115636905,0.220083683292736,9.60560507868048,3.22759832607029,7.0866655136252,10606.2894682337,4,0.0006606131,0.000102750152035912,0.369130918428571,"(0,0.1]"
"219",23238,41005936,115,16,337,1505.9,0,21.8306598762376,6.72021097740717,1.5839762589079,11.703907049627,2.77701780823466,7.98132626716744,15532.2918681519,5,0.003572836,0.000373879382849364,0.957795899114286,"(0,0.1]"
"220",23795,42003729,0,0,309,0,0,0,0,0,0,0,0,12094.1618664344,5,0.001292685,0.0000909102380969151,0.718871862428571,"(0,0.1]"
"221",23846,42007759,1382,63,42590,114170.3,0,1.26735797069356,1.16558142709962,0.276039223894624,0.798478218116057,0.341427160369996,0.359665388763482,1871871.97152115,8,0.002860182,0.0000000413366448051041,0.768100946171429,"(0,0.1]"
"222",23901,42023098,0,0,606,0,0,0,0,0.00361842113105874,0,0.210552631472973,0.0201661185067343,25956.857216026,5,0.01106443,0.000000248396607535475,1.14720527014286,"(0,0.1]"
"223",23948,42028716,5,1,2700,0,0,0.0476062394882643,0.062625036291574,0.368319765943827,0.064514803259418,0.32004663243967,0.0506828265012325,120133.008780608,6,-0.002412493,0.0000000295061959958788,1.11427036345714,"(-0.1,0]"
"224",24014,42034682,55,0,1888,0,0,0,0,4.07375661741804,0,0.309266666752636,0.0841259249461391,82987.4629201043,6,-0.003052203,0.000807170302189612,0.214961449342857,"(-0.1,0]"
"225",24100,42047900,0,0,601,0,0,0,0,0.559234611206562,0,0.481816969973077,0.00144592344066664,25034.7927064784,5,0.0121558,0.0000552457044347388,0.953911216828571,"(0,0.1]"
"226",24159,42056201,12,1,333,0,0,1.32736944938774,1.23142458582992,0.382686569819699,0.319933593470234,0.75174328157706,1.21142603265705,16311.5602814002,5,0.001230312,0.0048528248119314,0.515714039628571,"(0,0.1]"
"227",24246,42062880,786,36,3989,5026,4181,7.53933096398808,8.81377841143974,8.7139145841628,5.34923301550834,0.616140644626039,0.525475232527609,190639.049114185,6,0.002800856,0.00366560370224007,0.8395207086,"(0,0.1]"
"228",24247,42062895,187,29,645,6199.4,2310.1,14.9721378368925,16.325407689856,1.67875968909772,12.8220317450639,0.719545734356078,5.31077597798534,28037.6486771528,5,0.00245295,0.000650529832469415,0.643805947942857,"(0,0.1]"
"229",24481,42066020,168,28,777,12993.7,5667.4,11.8408012327937,4.42166940595063,0.583098597128168,7.19866839404252,0.892604356510004,5.47536038931712,34308.732225128,6,0.001186184,0.0138605370137844,1.74617803628571,"(0,0.1]"
"230",24567,42067579,148,13,527,3182.6,3182.6,12.3329380029067,8.44029861572685,0.817267554463992,8.60224585796577,0.80345351388943,4.93480762678147,23409.1189765672,5,0.002441794,0.000265512945646669,0.643640427028571,"(0,0.1]"
"231",24721,43006661,404,35,1889,7706.3,4375,12.7848910523952,10.8096795230867,9.15171868869831,8.14207550696588,0.734859861165585,3.22864210831385,83526.5494306513,6,-0.005103261,0.0000223728201152168,0.993329981371429,"(-0.1,0]"
"232",24722,43006688,183,19,961,4350.4,3790,12.1154858197007,5.02100738465229,4.13572170043041,5.47983007619717,0.861364485674682,0.669609157590975,45438.1582830855,5,0.001618955,0.00185112515628248,0.624760658114286,"(0,0.1]"
"233",24724,43006716,46,0,226,0,0,0,0,19.2097345031468,0,0.361402652432433,0.0104646018121095,10745.9885678861,5,0.002327346,0.000418368226904489,2.040977676,"(0,0.1]"
"234",24726,43006742,136,5,449,0,0,15.0036807506281,7.94108353638171,8.19844098399105,9.78960970981425,0.493173718850703,0.483487756337912,19844.3147119197,5,-0.001545752,0.00000242694433183452,0.731752266,"(-0.1,0]"
"235",24795,43008651,251,21,1433,2141,0,8.94838305252164,7.34857084519679,4.21878915843175,6.10334168973692,0.717009742520672,2.00585814064567,65850.9720150935,6,0.001173053,0.0379474349384441,1.32125948191429,"(0,0.1]"
"236",24830,43010541,236,13,927,591.1,199.5,13.1791040780025,8.88112904235897,8.12319309728174,8.90463107171611,0.844026971258778,2.30393059657808,41353.6203048008,5,-0.001774147,0.00989568839126326,0.4531581834,"(-0.1,0]"
"237",24832,43010579,26,4,239,0,0,0,0,10.3622406649392,0,0.396195020356614,0.355950203673968,10189.4401099245,5,0.002498169,0.0242392703746718,1.12336629431429,"(0,0.1]"
"238",24853,43012447,2390,144,17031,39151.5,2893.1,7.30520113146894,6.04223663649836,4.89291453862237,5.13102449303736,0.767455216837395,1.10071515155626,760606.378586098,7,0.001890028,0.0000000295061959958788,1.07803696628571,"(0,0.1]"
"239",24887,43014811,87,8,369,293,110,9.59853052000473,4.64520691572174,10.9479784704444,8.85169594148197,0.518797842037646,5.95498750625916,14951.8398253413,5,0.004124909,0.000102750152035912,1.12488342217143,"(0,0.1]"
"240",24930,43017365,0,0,605,0,0,0,0,0.374876033631731,0,0.475447936122082,0.0547240753804357,29508.75090565,5,-0.002321781,0.00225936064356749,0.787273818971429,"(-0.1,0]"
"241",25028,43030987,353,38,1405,2474,2370,7.68284066286211,11.8955167001583,11.1961620301061,9.24367752267754,0.501050462563706,2.19109280493214,60851.982037521,6,0.006054266,0.00762135081093312,0.865405202171429,"(0,0.1]"
"242",25070,43046787,7678,1132,42972,277270.9,19876.7,9.22549813752192,3.48968230778634,1.05883160096144,6.21610734520898,0.858300053377676,0.745797349804161,1916735.04224656,8,0.002018907,0.0000000148803500188275,0.7603883458,"(0,0.1]"
"243",25099,43049573,136,13,688,931,681,7.01062572762586,3.61108630226142,1.69231884027089,6.15261205883337,0.524255071504824,4.68055595032115,28843.2002297538,6,-0.002688828,0.000000340356719157106,0.741014054085714,"(-0.1,0]"
"244",25112,43055135,345,66,992,26466.3,1677,15.0020095419956,7.79806852139068,0.412776662085498,11.6919943578851,0.88433802559582,2.66977586252409,43020.2081262544,5,0.00198327,0.00000134647314109193,0.5634009864,"(0,0.1]"
"245",25250,43076732,296,66,1349,6520.4,0,12.5256841746777,1.31750795533473,0.271608600457833,7.59207772883023,1.05367976286241,1.14635823499149,60826.443355181,6,0.001153817,0.000070987712871104,0.940236643714286,"(0,0.1]"
"246",25402,43086207,64,17,293,462,230,13.4448634105331,1.95201560092054,0.508532423055619,4.91114951483614,0.915484643328312,3.81112971922236,13716.5185921671,5,0.001485194,0.0163253396829134,0.8690920924,"(0,0.1]"
"247",25527,43090867,185,44,683,2846.9,0,14.0248862712659,3.29969980839318,0.39341142147474,8.03869061851865,0.971770134494036,1.5236193369065,29332.5692675462,5,0.001593458,0.00123043841168622,0.652147488942857,"(0,0.1]"
"248",25573,43093128,318,52,915,18105.4,123.1,17.1760101683657,7.83026321242069,0.40926936003933,11.6432274346212,0.73977862745361,8.64464664191105,39087.5214652086,6,0.0009399866,0.0033329003128446,0.7840494532,"(0,0.1]"
"249",25937,44019654,9,9,684,1364,0,0,0,0.0701754384331013,0,2.75265936555657,0.0295804096658153,29372.1956599694,5,0.001393858,0.028234143450386,0.388306912685714,"(0,0.1]"
"250",26013,44030681,85,9,6462,73.5,73.5,0.61840428540554,0.250530901785849,0.0268017326980285,0.403636951624554,1.09088137862697,0.125154940292188,280496.35700433,6,0.000995357,0.000522555542592067,0.503630415742857,"(0,0.1]"
"251",26014,44030691,541,43,8601,9404,5128,3.88830352515359,0.635820955315619,0.0449808519448165,1.89388387598191,0.829348728221545,0.123592545485343,377474.564626875,7,-0.0005311666,0.0163253396829134,0.7092580312,"(-0.1,0]"
"252",26105,44037966,467,28,3702,25036.2,23352.6,7.2625540160567,5.85627029284819,0.638106796062655,3.81242191682476,2.62579368929928,0.887220210804651,154513.464832765,6,0.001037795,0.028234143450386,0.996169799228571,"(0,0.1]"
"253",26106,44037986,22,1,425,0,0,2.91155740192958,0.244773960923144,0.536065574395154,1.38246161385284,3.21876345608008,0.274697889419015,18467.2870005548,5,0.001886958,0.00136439215645161,0.991020512714286,"(0,0.1]"
"254",26376,44045930,176,16,1073,1925.6,0,10.8305115710878,3.1977370411352,0.407269339220388,7.87115985678015,2.33641007035721,0.623278901980841,45542.1372529458,6,0.001008853,0.0163253396829134,1.66238979705714,"(0,0.1]"
"255",26421,44046390,1709,121,17886,44860.8,2880.1,4.55551319020814,1.50541613796596,0.263846884423664,3.43920998287005,1.91737195863845,0.185763895081746,776128.162580721,7,-0.0005577522,0.0304360620926451,0.828492530828571,"(-0.1,0]"
"256",26652,44049806,0,0,667,0,0,0,0,0.235982008736352,0,1.10869415185932,0.247505248441868,28468.6121348748,5,-0.0006076445,0.010778341787809,0.472455648628571,"(-0.1,0]"
"257",26861,45059522,852,7,7467,0,0,1.15116124083689,0.406292960987507,9.05448959112458,1.18127368018259,1.37966822602157,0.322846478545159,345752.975788133,7,0.008155589,0.00249302753224377,0.9311118346,"(0,0.1]"
"258",26977,45070351,128,11,626,0,0,12.5844401617291,1.52605573925528,3.9990445795902,9.41771899822233,2.1260127387585,0.892064903097548,28057.3070664415,6,-0.006477752,0.0379474349384441,2.11750416234286,"(-0.1,0]"
"259",26979,45070447,21,2,289,0,0,5.21224053920759,0.9234738927399,0.233217994698604,2.65350781493428,3.32779584665199,0.427401395198796,14710.1907738546,5,0.002547235,0.00989568839126326,0.8724629626,"(0,0.1]"
"260",27041,45073653,424,52,2136,13015.6,3515.6,12.4757743610369,3.22010723814675,3.41114231865602,8.04922696158833,1.62062827502604,0.38550745057856,95523.8573853718,6,-0.001004661,0.0224324730032702,0.392598660171429,"(-0.1,0]"
"261",27043,45073773,1,1,275,0,0,0,0,0.686131387894606,0,5.83985765843931,0.333573988319313,12583.9908987889,4,-0.0007602522,0.00225936064356749,0.468231412828571,"(-0.1,0]"
"262",27167,45079511,0,0,415,0,0,0,0,0.0129496404807344,0,0.66506234794069,0,21378.3093530276,4,-0.0008709561,0.0437869804777886,0.303861698771429,"(-0.1,0]"
"263",27345,45087681,29,3,247,0,0,3.47827455003252,1.35074235939304,5.01821861606136,3.32659030340671,1.77244129608035,0.100064779100148,10506.7259050484,4,-0.001297844,0.00442314596163109,0.331297672885714,"(-0.1,0]"
"264",27421,45092364,69,5,281,69.3,69.3,13.9841657569467,1.5101412882232,2.94169613534697,9.39980851241409,1.54421201335141,0.538579508925495,11531.2642927102,5,-0.004275631,0.000583283347549499,1.37859525797143,"(-0.1,0]"
"265",27439,45093530,2404,400,5732,31179.1,15040.9,28.5715104634825,11.9408718450679,6.44909439036102,21.4725142493927,2.07787182159496,0.947308192899608,256621.794464923,7,-0.002877378,0.000102750152035912,1.2082246808,"(-0.1,0]"
