"","year","spsum","order","slope","slope_perc","significance","unct","x","ymax","ymin","font_face"
"33",2016,933973.620435137,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"34",2017,880944.416768243,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"35",2018,923786.778577684,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"36",1984,578727.756657281,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"37",1985,596545.937703015,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"38",1986,600673.289028088,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"39",1987,551509.762311241,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"40",1988,602429.265332389,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"41",1989,585482.119650083,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"42",1990,584739.572629029,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"43",1991,598496.225034766,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"44",1992,550685.916890031,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"45",1993,595310.165268993,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"46",1994,597460.033230762,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"47",1995,585534.523060295,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"48",1996,582980.466315891,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"49",1997,577970.147333712,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"50",1998,588863.261537918,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"51",1999,575037.11161212,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"52",2000,578333.331150013,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"53",2001,537638.47943138,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"54",2002,540268.688717684,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"55",2003,519900.906778084,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"56",2004,533685.798396238,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"57",2005,517618.544949724,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"58",2006,524350.189466672,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"59",2007,547200.000513094,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"60",2008,569416.621911793,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"61",2009,559044.218062689,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"62",2010,535466.308138505,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"63",2011,532041.633078329,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"64",2012,514909.235082301,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"65",2013,546146.73367513,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"66",2014,546093.216093888,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"67",2015,525857.405127901,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"68",2016,529776.370435285,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"69",2017,544491.187273081,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"70",2018,552733.845213213,"Stream Order = 7","-1971","-0.35",0.00000869430047649447,"0.058",2007,602429.265332389,514909.235082301,"bold"
"71",1984,406177.600732566,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
