"","year","frac","order"
"19965",1996,331.548074513533,"Stream Order = 3"
"19975",1997,312.3101867531,"Stream Order = 3"
"19985",1998,332.806492987841,"Stream Order = 3"
"19995",1999,338.106778019357,"Stream Order = 3"
"20005",2000,327.758486879044,"Stream Order = 3"
"20015",2001,316.228777277959,"Stream Order = 3"
"20025",2002,318.444920180953,"Stream Order = 3"
"20035",2003,309.494383553298,"Stream Order = 3"
"20045",2004,306.547338962784,"Stream Order = 3"
"20055",2005,306.057414909884,"Stream Order = 3"
"20065",2006,318.580499093432,"Stream Order = 3"
"20075",2007,324.017710638907,"Stream Order = 3"
"20085",2008,331.053619985843,"Stream Order = 3"
"20095",2009,323.265805535236,"Stream Order = 3"
"20105",2010,327.706319264076,"Stream Order = 3"
"20115",2011,329.838850978589,"Stream Order = 3"
"20125",2012,312.097774060301,"Stream Order = 3"
"20135",2013,328.378828161144,"Stream Order = 3"
"20145",2014,317.210660774092,"Stream Order = 3"
"20155",2015,309.066029506135,"Stream Order = 3"
"20165",2016,324.317372947434,"Stream Order = 3"
"20175",2017,337.611299503988,"Stream Order = 3"
"20185",2018,331.808421977295,"Stream Order = 3"
"19846",1984,134.981130293767,"Stream Order = 2"
"19856",1985,130.022598158379,"Stream Order = 2"
"19866",1986,131.811738435042,"Stream Order = 2"
"19876",1987,124.105781466228,"Stream Order = 2"
"19886",1988,133.351154330066,"Stream Order = 2"
"19896",1989,133.244686852299,"Stream Order = 2"
"19906",1990,131.873526793017,"Stream Order = 2"
"19916",1991,129.271964475444,"Stream Order = 2"
"19926",1992,123.15527209432,"Stream Order = 2"
"19936",1993,131.172011378874,"Stream Order = 2"
"19946",1994,133.704718019374,"Stream Order = 2"
"19956",1995,132.839780749332,"Stream Order = 2"
"19966",1996,133.954247475582,"Stream Order = 2"
"19976",1997,125.388445482692,"Stream Order = 2"
"19986",1998,134.967563191921,"Stream Order = 2"
"19996",1999,136.346590434106,"Stream Order = 2"
"20006",2000,131.740596182276,"Stream Order = 2"
"20016",2001,126.544979854788,"Stream Order = 2"
"20026",2002,127.800757513587,"Stream Order = 2"
"20036",2003,124.527894077201,"Stream Order = 2"
"20046",2004,123.102202286097,"Stream Order = 2"
"20056",2005,123.764063354169,"Stream Order = 2"
"20066",2006,127.729611333603,"Stream Order = 2"
"20076",2007,130.484152550911,"Stream Order = 2"
"20086",2008,134.302500053085,"Stream Order = 2"
"20096",2009,129.546594416409,"Stream Order = 2"
"20106",2010,133.275190219165,"Stream Order = 2"
"20116",2011,133.837115275614,"Stream Order = 2"
"20126",2012,126.856080469623,"Stream Order = 2"
"20136",2013,132.345363543725,"Stream Order = 2"
"20146",2014,128.378419508954,"Stream Order = 2"
"20156",2015,125.134399016181,"Stream Order = 2"
"20166",2016,131.724290356959,"Stream Order = 2"
"20176",2017,137.065076383729,"Stream Order = 2"
